zone_id,rack_id,bin_id,capacity,accessibility,current_utilization
ZONE_1,R3,B5,"{'length': 96, 'width': 42, 'height': 16}",4,0.55
ZONE_1,R3,B6,"{'length': 73, 'width': 39, 'height': 22}",3,0.41
ZONE_1,R3,B7,"{'length': 77, 'width': 43, 'height': 16}",5,0.49
ZONE_1,R3,B8,"{'length': 89, 'width': 26, 'height': 9}",4,0.56
ZONE_1,R3,B9,"{'length': 17, 'width': 21, 'height': 24}",2,0.46
ZONE_1,R3,B10,"{'length': 17, 'width': 13, 'height': 27}",3,0.73
ZONE_1,R3,B11,"{'length': 45, 'width': 44, 'height': 5}",3,0.37
ZONE_1,R3,B12,"{'length': 31, 'width': 28, 'height': 13}",5,0.32
ZONE_1,R3,B13,"{'length': 24, 'width': 16, 'height': 12}",1,0.49
ZONE_1,R3,B14,"{'length': 71, 'width': 34, 'height': 8}",4,0.46
ZONE_1,R3,B15,"{'length': 74, 'width': 15, 'height': 16}",1,0.53
ZONE_1,R3,B16,"{'length': 94, 'width': 21, 'height': 12}",1,0.3
ZONE_1,R3,B17,"{'length': 28, 'width': 12, 'height': 24}",2,0.81
ZONE_1,R3,B18,"{'length': 72, 'width': 22, 'height': 27}",3,0.64
ZONE_1,R3,B19,"{'length': 84, 'width': 19, 'height': 17}",2,0.58
ZONE_1,R3,B20,"{'length': 98, 'width': 42, 'height': 21}",5,0.58
ZONE_1,R4,B1,"{'length': 50, 'width': 42, 'height': 7}",3,0.49
ZONE_1,R4,B2,"{'length': 95, 'width': 18, 'height': 18}",1,0.52
ZONE_1,R4,B3,"{'length': 23, 'width': 20, 'height': 16}",3,0.69
ZONE_1,R4,B4,"{'length': 24, 'width': 21, 'height': 21}",1,0.42
ZONE_1,R4,B5,"{'length': 75, 'width': 10, 'height': 13}",1,0.54
ZONE_1,R4,B6,"{'length': 53, 'width': 45, 'height': 19}",2,0.78
ZONE_1,R4,B7,"{'length': 68, 'width': 30, 'height': 7}",3,0.6
ZONE_1,R4,B8,"{'length': 69, 'width': 23, 'height': 26}",4,0.5
ZONE_1,R4,B9,"{'length': 70, 'width': 45, 'height': 18}",4,0.69
ZONE_1,R4,B10,"{'length': 37, 'width': 35, 'height': 10}",1,0.85
ZONE_1,R4,B11,"{'length': 26, 'width': 35, 'height': 9}",1,0.55
ZONE_1,R4,B12,"{'length': 93, 'width': 32, 'height': 17}",1,0.77
ZONE_1,R4,B13,"{'length': 30, 'width': 15, 'height': 6}",5,0.46
ZONE_1,R4,B14,"{'length': 47, 'width': 42, 'height': 22}",3,0.78
ZONE_1,R4,B15,"{'length': 31, 'width': 21, 'height': 25}",5,0.68
ZONE_1,R4,B16,"{'length': 61, 'width': 36, 'height': 12}",3,0.56
ZONE_1,R4,B17,"{'length': 25, 'width': 22, 'height': 5}",5,0.35
ZONE_1,R4,B18,"{'length': 83, 'width': 23, 'height': 16}",4,0.78
ZONE_1,R4,B19,"{'length': 18, 'width': 46, 'height': 21}",1,0.9
ZONE_1,R4,B20,"{'length': 91, 'width': 48, 'height': 21}",3,0.58
ZONE_1,R5,B1,"{'length': 83, 'width': 21, 'height': 6}",1,0.83
ZONE_1,R5,B2,"{'length': 20, 'width': 46, 'height': 6}",5,0.32
ZONE_1,R5,B3,"{'length': 78, 'width': 25, 'height': 13}",3,0.46
ZONE_1,R5,B4,"{'length': 49, 'width': 13, 'height': 9}",5,0.7
ZONE_1,R5,B5,"{'length': 68, 'width': 21, 'height': 27}",1,0.8
ZONE_1,R5,B6,"{'length': 96, 'width': 32, 'height': 14}",2,0.42
ZONE_1,R5,B7,"{'length': 73, 'width': 28, 'height': 17}",3,0.81
ZONE_1,R5,B8,"{'length': 36, 'width': 42, 'height': 25}",5,0.51
ZONE_1,R5,B9,"{'length': 27, 'width': 38, 'height': 20}",5,0.59
ZONE_1,R5,B10,"{'length': 46, 'width': 33, 'height': 10}",5,0.4
ZONE_1,R5,B11,"{'length': 15, 'width': 30, 'height': 28}",1,0.4
ZONE_1,R5,B12,"{'length': 35, 'width': 37, 'height': 6}",4,0.61
ZONE_1,R5,B13,"{'length': 87, 'width': 36, 'height': 21}",1,0.47
ZONE_1,R5,B14,"{'length': 80, 'width': 40, 'height': 8}",1,0.65
ZONE_1,R5,B15,"{'length': 31, 'width': 18, 'height': 23}",3,0.85
ZONE_1,R5,B16,"{'length': 71, 'width': 43, 'height': 8}",5,0.9
ZONE_1,R5,B17,"{'length': 34, 'width': 26, 'height': 29}",4,0.42
ZONE_1,R5,B18,"{'length': 89, 'width': 18, 'height': 7}",3,0.45
ZONE_1,R5,B19,"{'length': 20, 'width': 20, 'height': 27}",3,0.35
ZONE_1,R5,B20,"{'length': 99, 'width': 27, 'height': 26}",5,0.78
ZONE_1,R6,B1,"{'length': 90, 'width': 45, 'height': 6}",5,0.65
ZONE_1,R6,B2,"{'length': 17, 'width': 10, 'height': 21}",5,0.84
ZONE_1,R6,B3,"{'length': 78, 'width': 13, 'height': 28}",3,0.48
ZONE_1,R6,B4,"{'length': 82, 'width': 42, 'height': 17}",1,0.83
ZONE_1,R6,B5,"{'length': 20, 'width': 32, 'height': 7}",3,0.78
ZONE_1,R6,B6,"{'length': 68, 'width': 45, 'height': 15}",5,0.58
ZONE_1,R6,B7,"{'length': 41, 'width': 18, 'height': 21}",3,0.31
ZONE_1,R6,B8,"{'length': 94, 'width': 37, 'height': 18}",5,0.39
ZONE_1,R6,B9,"{'length': 79, 'width': 35, 'height': 8}",5,0.49
ZONE_1,R6,B10,"{'length': 62, 'width': 25, 'height': 21}",2,0.32
ZONE_1,R6,B11,"{'length': 21, 'width': 20, 'height': 9}",1,0.4
ZONE_1,R6,B12,"{'length': 38, 'width': 13, 'height': 14}",2,0.3
ZONE_1,R6,B13,"{'length': 84, 'width': 40, 'height': 5}",2,0.78
ZONE_1,R6,B14,"{'length': 65, 'width': 30, 'height': 14}",3,0.67
ZONE_1,R6,B15,"{'length': 94, 'width': 42, 'height': 15}",4,0.49
ZONE_1,R6,B16,"{'length': 11, 'width': 34, 'height': 29}",5,0.53
ZONE_1,R6,B17,"{'length': 69, 'width': 45, 'height': 6}",3,0.53
ZONE_1,R6,B18,"{'length': 32, 'width': 22, 'height': 9}",1,0.33
ZONE_1,R6,B19,"{'length': 76, 'width': 24, 'height': 10}",1,0.31
ZONE_1,R6,B20,"{'length': 74, 'width': 39, 'height': 13}",4,0.73
ZONE_1,R7,B1,"{'length': 78, 'width': 40, 'height': 24}",3,0.74
ZONE_1,R7,B2,"{'length': 46, 'width': 14, 'height': 9}",2,0.81
ZONE_1,R7,B3,"{'length': 61, 'width': 37, 'height': 6}",2,0.81
ZONE_1,R7,B4,"{'length': 75, 'width': 24, 'height': 13}",4,0.32
ZONE_1,R7,B5,"{'length': 31, 'width': 13, 'height': 11}",1,0.69
ZONE_1,R7,B6,"{'length': 91, 'width': 27, 'height': 27}",4,0.5
ZONE_1,R7,B7,"{'length': 88, 'width': 24, 'height': 26}",3,0.62
ZONE_1,R7,B8,"{'length': 43, 'width': 31, 'height': 25}",2,0.88
ZONE_1,R7,B9,"{'length': 95, 'width': 45, 'height': 8}",3,0.85
ZONE_1,R7,B10,"{'length': 63, 'width': 49, 'height': 8}",2,0.64
ZONE_1,R7,B11,"{'length': 64, 'width': 13, 'height': 9}",4,0.71
ZONE_1,R7,B12,"{'length': 55, 'width': 33, 'height': 25}",5,0.36
ZONE_1,R7,B13,"{'length': 52, 'width': 34, 'height': 13}",2,0.3
ZONE_1,R7,B14,"{'length': 86, 'width': 16, 'height': 14}",3,0.66
ZONE_1,R7,B15,"{'length': 56, 'width': 46, 'height': 28}",1,0.69
ZONE_1,R7,B16,"{'length': 99, 'width': 26, 'height': 11}",5,0.4
ZONE_1,R7,B17,"{'length': 79, 'width': 30, 'height': 22}",5,0.38
ZONE_1,R7,B18,"{'length': 52, 'width': 32, 'height': 13}",1,0.62
ZONE_1,R7,B19,"{'length': 76, 'width': 21, 'height': 22}",4,0.5
ZONE_1,R7,B20,"{'length': 29, 'width': 41, 'height': 24}",1,0.38
ZONE_1,R8,B1,"{'length': 29, 'width': 11, 'height': 8}",3,0.34
ZONE_1,R8,B2,"{'length': 48, 'width': 40, 'height': 15}",1,0.37
ZONE_1,R8,B3,"{'length': 63, 'width': 28, 'height': 6}",2,0.42
ZONE_1,R8,B4,"{'length': 69, 'width': 26, 'height': 20}",3,0.87
ZONE_1,R8,B5,"{'length': 87, 'width': 46, 'height': 5}",4,0.31
ZONE_1,R8,B6,"{'length': 61, 'width': 32, 'height': 5}",1,0.52
ZONE_1,R8,B7,"{'length': 16, 'width': 18, 'height': 10}",2,0.86
ZONE_1,R8,B8,"{'length': 11, 'width': 18, 'height': 18}",1,0.69
ZONE_1,R8,B9,"{'length': 42, 'width': 15, 'height': 7}",4,0.38
ZONE_1,R8,B10,"{'length': 92, 'width': 32, 'height': 15}",4,0.42
ZONE_1,R8,B11,"{'length': 57, 'width': 44, 'height': 9}",4,0.74
ZONE_1,R8,B12,"{'length': 65, 'width': 18, 'height': 5}",3,0.53
ZONE_1,R8,B13,"{'length': 46, 'width': 26, 'height': 18}",4,0.51
ZONE_1,R8,B14,"{'length': 96, 'width': 32, 'height': 11}",1,0.55
ZONE_1,R8,B15,"{'length': 53, 'width': 22, 'height': 19}",2,0.32
ZONE_1,R8,B16,"{'length': 33, 'width': 44, 'height': 12}",5,0.64
ZONE_1,R8,B17,"{'length': 80, 'width': 13, 'height': 22}",2,0.4
ZONE_1,R8,B18,"{'length': 85, 'width': 21, 'height': 19}",1,0.58
ZONE_1,R8,B19,"{'length': 49, 'width': 35, 'height': 25}",5,0.56
ZONE_1,R8,B20,"{'length': 22, 'width': 23, 'height': 20}",5,0.82
ZONE_1,R9,B1,"{'length': 19, 'width': 47, 'height': 19}",4,0.61
ZONE_1,R9,B2,"{'length': 72, 'width': 36, 'height': 5}",4,0.89
ZONE_1,R9,B3,"{'length': 89, 'width': 37, 'height': 11}",3,0.72
ZONE_1,R9,B4,"{'length': 17, 'width': 17, 'height': 11}",4,0.43
ZONE_1,R9,B5,"{'length': 95, 'width': 19, 'height': 15}",5,0.38
ZONE_1,R9,B6,"{'length': 32, 'width': 29, 'height': 23}",5,0.66
ZONE_1,R9,B7,"{'length': 51, 'width': 17, 'height': 7}",4,0.32
ZONE_1,R9,B8,"{'length': 40, 'width': 27, 'height': 28}",3,0.65
ZONE_1,R9,B9,"{'length': 54, 'width': 12, 'height': 23}",3,0.47
ZONE_1,R9,B10,"{'length': 92, 'width': 13, 'height': 28}",2,0.64
ZONE_1,R9,B11,"{'length': 65, 'width': 37, 'height': 18}",1,0.77
ZONE_1,R9,B12,"{'length': 83, 'width': 15, 'height': 25}",4,0.86
ZONE_1,R9,B13,"{'length': 83, 'width': 21, 'height': 19}",3,0.73
ZONE_1,R9,B14,"{'length': 67, 'width': 23, 'height': 5}",4,0.7
ZONE_1,R9,B15,"{'length': 38, 'width': 26, 'height': 24}",3,0.54
ZONE_1,R9,B16,"{'length': 22, 'width': 47, 'height': 14}",4,0.73
ZONE_1,R9,B17,"{'length': 11, 'width': 39, 'height': 10}",1,0.67
ZONE_1,R9,B18,"{'length': 62, 'width': 17, 'height': 23}",2,0.47
ZONE_1,R9,B19,"{'length': 93, 'width': 32, 'height': 9}",1,0.59
ZONE_1,R9,B20,"{'length': 10, 'width': 20, 'height': 16}",1,0.77
ZONE_1,R10,B1,"{'length': 54, 'width': 38, 'height': 28}",3,0.61
ZONE_1,R10,B2,"{'length': 37, 'width': 26, 'height': 27}",4,0.36
ZONE_1,R10,B3,"{'length': 18, 'width': 47, 'height': 15}",4,0.36
ZONE_1,R10,B4,"{'length': 52, 'width': 12, 'height': 12}",3,0.4
ZONE_1,R10,B5,"{'length': 50, 'width': 38, 'height': 11}",3,0.52
ZONE_1,R10,B6,"{'length': 99, 'width': 12, 'height': 19}",4,0.53
ZONE_1,R10,B7,"{'length': 10, 'width': 27, 'height': 9}",2,0.88
ZONE_1,R10,B8,"{'length': 19, 'width': 38, 'height': 28}",5,0.4
ZONE_1,R10,B9,"{'length': 31, 'width': 48, 'height': 23}",1,0.48
ZONE_1,R10,B10,"{'length': 69, 'width': 28, 'height': 10}",1,0.68
ZONE_1,R10,B11,"{'length': 71, 'width': 23, 'height': 8}",1,0.56
ZONE_1,R10,B12,"{'length': 13, 'width': 18, 'height': 16}",2,0.65
ZONE_1,R10,B13,"{'length': 16, 'width': 47, 'height': 21}",2,0.45
ZONE_1,R10,B14,"{'length': 27, 'width': 14, 'height': 18}",3,0.69
ZONE_1,R10,B15,"{'length': 43, 'width': 26, 'height': 21}",5,0.55
ZONE_1,R10,B16,"{'length': 26, 'width': 21, 'height': 25}",2,0.56
ZONE_1,R10,B17,"{'length': 82, 'width': 17, 'height': 19}",3,0.45
ZONE_1,R10,B18,"{'length': 16, 'width': 33, 'height': 11}",1,0.62
ZONE_1,R10,B19,"{'length': 32, 'width': 38, 'height': 10}",3,0.54
ZONE_1,R10,B20,"{'length': 94, 'width': 43, 'height': 18}",5,0.66
ZONE_2,R1,B1,"{'length': 77, 'width': 13, 'height': 14}",4,0.61
ZONE_2,R1,B2,"{'length': 59, 'width': 12, 'height': 26}",2,0.4
ZONE_2,R1,B3,"{'length': 20, 'width': 35, 'height': 7}",2,0.69
ZONE_2,R1,B4,"{'length': 52, 'width': 13, 'height': 21}",5,0.31
ZONE_2,R1,B5,"{'length': 55, 'width': 24, 'height': 7}",3,0.54
ZONE_2,R1,B6,"{'length': 30, 'width': 14, 'height': 23}",3,0.87
ZONE_2,R1,B7,"{'length': 89, 'width': 10, 'height': 17}",3,0.81
ZONE_2,R1,B8,"{'length': 38, 'width': 39, 'height': 27}",4,0.78
ZONE_2,R1,B9,"{'length': 95, 'width': 25, 'height': 22}",2,0.56
ZONE_2,R1,B10,"{'length': 87, 'width': 23, 'height': 13}",4,0.83
ZONE_2,R1,B11,"{'length': 35, 'width': 46, 'height': 20}",1,0.43
ZONE_2,R1,B12,"{'length': 52, 'width': 39, 'height': 24}",5,0.4
ZONE_2,R1,B13,"{'length': 29, 'width': 44, 'height': 22}",1,0.51
ZONE_2,R1,B14,"{'length': 37, 'width': 11, 'height': 8}",1,0.49
ZONE_2,R1,B15,"{'length': 60, 'width': 42, 'height': 29}",3,0.36
ZONE_2,R1,B16,"{'length': 95, 'width': 27, 'height': 13}",3,0.79
ZONE_2,R1,B17,"{'length': 95, 'width': 27, 'height': 18}",2,0.71
ZONE_2,R1,B18,"{'length': 85, 'width': 47, 'height': 18}",2,0.67
ZONE_2,R1,B19,"{'length': 81, 'width': 36, 'height': 6}",4,0.66
ZONE_2,R1,B20,"{'length': 85, 'width': 34, 'height': 7}",3,0.44
ZONE_2,R2,B1,"{'length': 91, 'width': 28, 'height': 20}",3,0.81
ZONE_2,R2,B2,"{'length': 81, 'width': 33, 'height': 12}",2,0.89
ZONE_2,R2,B3,"{'length': 28, 'width': 30, 'height': 6}",3,0.48
ZONE_2,R2,B4,"{'length': 86, 'width': 21, 'height': 6}",2,0.88
ZONE_2,R2,B5,"{'length': 53, 'width': 39, 'height': 7}",1,0.55
ZONE_2,R2,B6,"{'length': 77, 'width': 11, 'height': 10}",1,0.85
ZONE_2,R2,B7,"{'length': 83, 'width': 43, 'height': 8}",3,0.37
ZONE_2,R2,B8,"{'length': 39, 'width': 48, 'height': 16}",2,0.74
ZONE_2,R2,B9,"{'length': 37, 'width': 33, 'height': 22}",5,0.41
ZONE_2,R2,B10,"{'length': 11, 'width': 23, 'height': 19}",5,0.81
ZONE_2,R2,B11,"{'length': 65, 'width': 41, 'height': 15}",5,0.82
ZONE_2,R2,B12,"{'length': 97, 'width': 26, 'height': 6}",5,0.57
ZONE_2,R2,B13,"{'length': 52, 'width': 23, 'height': 21}",3,0.4
ZONE_2,R2,B14,"{'length': 50, 'width': 16, 'height': 18}",3,0.49
ZONE_2,R2,B15,"{'length': 95, 'width': 38, 'height': 26}",5,0.61
ZONE_2,R2,B16,"{'length': 28, 'width': 40, 'height': 17}",5,0.32
ZONE_2,R2,B17,"{'length': 12, 'width': 28, 'height': 27}",4,0.89
ZONE_2,R2,B18,"{'length': 50, 'width': 41, 'height': 8}",5,0.62
ZONE_2,R2,B19,"{'length': 46, 'width': 48, 'height': 22}",5,0.72
ZONE_2,R2,B20,"{'length': 88, 'width': 42, 'height': 13}",2,0.37
ZONE_2,R3,B1,"{'length': 74, 'width': 33, 'height': 8}",1,0.72
ZONE_2,R3,B2,"{'length': 58, 'width': 35, 'height': 6}",3,0.45
ZONE_2,R3,B3,"{'length': 55, 'width': 12, 'height': 20}",4,0.78
ZONE_2,R3,B4,"{'length': 59, 'width': 14, 'height': 24}",4,0.76
ZONE_2,R3,B5,"{'length': 61, 'width': 23, 'height': 15}",4,0.64
ZONE_2,R3,B6,"{'length': 54, 'width': 11, 'height': 21}",4,0.65
ZONE_2,R3,B7,"{'length': 98, 'width': 42, 'height': 21}",5,0.46
ZONE_2,R3,B8,"{'length': 23, 'width': 29, 'height': 5}",2,0.52
ZONE_2,R3,B9,"{'length': 90, 'width': 24, 'height': 19}",3,0.66
ZONE_2,R3,B10,"{'length': 20, 'width': 20, 'height': 28}",1,0.87
ZONE_2,R3,B11,"{'length': 78, 'width': 34, 'height': 15}",2,0.74
ZONE_2,R3,B12,"{'length': 59, 'width': 10, 'height': 13}",4,0.52
ZONE_2,R3,B13,"{'length': 99, 'width': 48, 'height': 22}",5,0.41
ZONE_2,R3,B14,"{'length': 55, 'width': 47, 'height': 28}",5,0.76
ZONE_2,R3,B15,"{'length': 14, 'width': 19, 'height': 21}",4,0.65
ZONE_2,R3,B16,"{'length': 63, 'width': 21, 'height': 12}",3,0.58
ZONE_2,R3,B17,"{'length': 27, 'width': 31, 'height': 12}",1,0.65
ZONE_2,R3,B18,"{'length': 86, 'width': 33, 'height': 7}",5,0.4
ZONE_2,R3,B19,"{'length': 89, 'width': 22, 'height': 15}",1,0.39
ZONE_2,R3,B20,"{'length': 27, 'width': 33, 'height': 25}",1,0.65
ZONE_2,R4,B1,"{'length': 46, 'width': 19, 'height': 5}",5,0.76
ZONE_2,R4,B2,"{'length': 41, 'width': 23, 'height': 19}",4,0.8
ZONE_2,R4,B3,"{'length': 98, 'width': 17, 'height': 22}",2,0.56
ZONE_2,R4,B4,"{'length': 91, 'width': 36, 'height': 20}",3,0.7
ZONE_2,R4,B5,"{'length': 33, 'width': 25, 'height': 17}",5,0.79
ZONE_2,R4,B6,"{'length': 36, 'width': 27, 'height': 9}",2,0.47
ZONE_2,R4,B7,"{'length': 89, 'width': 47, 'height': 20}",2,0.66
ZONE_2,R4,B8,"{'length': 41, 'width': 41, 'height': 29}",5,0.65
ZONE_2,R4,B9,"{'length': 40, 'width': 10, 'height': 20}",3,0.84
ZONE_2,R4,B10,"{'length': 71, 'width': 32, 'height': 21}",2,0.63
ZONE_2,R4,B11,"{'length': 17, 'width': 31, 'height': 19}",5,0.42
ZONE_2,R4,B12,"{'length': 99, 'width': 26, 'height': 11}",1,0.64
ZONE_2,R4,B13,"{'length': 47, 'width': 41, 'height': 24}",3,0.35
ZONE_2,R4,B14,"{'length': 72, 'width': 25, 'height': 9}",5,0.42
ZONE_2,R4,B15,"{'length': 67, 'width': 31, 'height': 21}",1,0.73
ZONE_2,R4,B16,"{'length': 16, 'width': 43, 'height': 18}",4,0.79
ZONE_2,R4,B17,"{'length': 20, 'width': 42, 'height': 13}",2,0.64
ZONE_2,R4,B18,"{'length': 18, 'width': 11, 'height': 23}",1,0.87
ZONE_2,R4,B19,"{'length': 18, 'width': 31, 'height': 22}",5,0.57
ZONE_2,R4,B20,"{'length': 85, 'width': 47, 'height': 23}",4,0.3
ZONE_2,R5,B1,"{'length': 47, 'width': 21, 'height': 9}",1,0.55
ZONE_2,R5,B2,"{'length': 56, 'width': 19, 'height': 20}",5,0.55
ZONE_2,R5,B3,"{'length': 48, 'width': 28, 'height': 18}",4,0.59
ZONE_2,R5,B4,"{'length': 36, 'width': 16, 'height': 28}",5,0.68
ZONE_2,R5,B5,"{'length': 83, 'width': 41, 'height': 22}",4,0.64
ZONE_2,R5,B6,"{'length': 42, 'width': 13, 'height': 14}",5,0.68
ZONE_2,R5,B7,"{'length': 52, 'width': 18, 'height': 8}",5,0.82
ZONE_2,R5,B8,"{'length': 36, 'width': 39, 'height': 5}",4,0.59
ZONE_2,R5,B9,"{'length': 79, 'width': 21, 'height': 28}",2,0.37
ZONE_2,R5,B10,"{'length': 59, 'width': 43, 'height': 25}",4,0.85
ZONE_2,R5,B11,"{'length': 12, 'width': 47, 'height': 6}",2,0.37
ZONE_2,R5,B12,"{'length': 61, 'width': 45, 'height': 21}",4,0.72
ZONE_2,R5,B13,"{'length': 21, 'width': 15, 'height': 10}",3,0.89
ZONE_2,R5,B14,"{'length': 70, 'width': 49, 'height': 13}",2,0.83
ZONE_2,R5,B15,"{'length': 26, 'width': 28, 'height': 15}",3,0.42
ZONE_2,R5,B16,"{'length': 63, 'width': 14, 'height': 16}",4,0.49
ZONE_2,R5,B17,"{'length': 62, 'width': 46, 'height': 20}",1,0.38
ZONE_2,R5,B18,"{'length': 67, 'width': 35, 'height': 10}",5,0.42
ZONE_2,R5,B19,"{'length': 54, 'width': 44, 'height': 9}",4,0.49
ZONE_2,R5,B20,"{'length': 37, 'width': 17, 'height': 21}",2,0.55
ZONE_2,R6,B1,"{'length': 44, 'width': 38, 'height': 25}",3,0.61
ZONE_2,R6,B2,"{'length': 22, 'width': 34, 'height': 7}",2,0.77
ZONE_2,R6,B3,"{'length': 57, 'width': 11, 'height': 21}",5,0.74
ZONE_2,R6,B4,"{'length': 34, 'width': 28, 'height': 9}",3,0.58
ZONE_2,R6,B5,"{'length': 85, 'width': 19, 'height': 15}",2,0.77
ZONE_2,R6,B6,"{'length': 92, 'width': 11, 'height': 29}",2,0.83
ZONE_2,R6,B7,"{'length': 39, 'width': 41, 'height': 13}",3,0.82
ZONE_2,R6,B8,"{'length': 31, 'width': 14, 'height': 29}",5,0.43
ZONE_2,R6,B9,"{'length': 76, 'width': 12, 'height': 6}",3,0.85
ZONE_2,R6,B10,"{'length': 35, 'width': 17, 'height': 6}",4,0.8
ZONE_2,R6,B11,"{'length': 42, 'width': 15, 'height': 19}",2,0.73
ZONE_2,R6,B12,"{'length': 92, 'width': 41, 'height': 13}",5,0.88
ZONE_2,R6,B13,"{'length': 34, 'width': 49, 'height': 25}",5,0.87
ZONE_2,R6,B14,"{'length': 62, 'width': 36, 'height': 17}",2,0.76
ZONE_2,R6,B15,"{'length': 84, 'width': 33, 'height': 5}",3,0.56
ZONE_2,R6,B16,"{'length': 29, 'width': 42, 'height': 19}",1,0.68
ZONE_2,R6,B17,"{'length': 55, 'width': 27, 'height': 29}",4,0.66
ZONE_2,R6,B18,"{'length': 60, 'width': 19, 'height': 23}",4,0.41
ZONE_2,R6,B19,"{'length': 33, 'width': 28, 'height': 21}",3,0.46
ZONE_2,R6,B20,"{'length': 77, 'width': 38, 'height': 28}",1,0.69
ZONE_2,R7,B1,"{'length': 55, 'width': 41, 'height': 12}",3,0.45
ZONE_2,R7,B2,"{'length': 66, 'width': 39, 'height': 16}",1,0.64
ZONE_2,R7,B3,"{'length': 54, 'width': 18, 'height': 6}",1,0.77
ZONE_2,R7,B4,"{'length': 27, 'width': 17, 'height': 11}",3,0.8
ZONE_2,R7,B5,"{'length': 93, 'width': 41, 'height': 24}",2,0.61
ZONE_2,R7,B6,"{'length': 35, 'width': 43, 'height': 14}",1,0.74
ZONE_2,R7,B7,"{'length': 17, 'width': 11, 'height': 5}",3,0.54
ZONE_2,R7,B8,"{'length': 42, 'width': 46, 'height': 7}",4,0.32
ZONE_2,R7,B9,"{'length': 54, 'width': 33, 'height': 14}",5,0.67
ZONE_2,R7,B10,"{'length': 69, 'width': 30, 'height': 26}",4,0.44
ZONE_2,R7,B11,"{'length': 71, 'width': 31, 'height': 29}",4,0.78
