log_id,item_id,timestamp,movement_type,location,order_id
LOG_00059,ITEM_0837,2023-01-03 11:00:00,out,B7,ORD_0059
LOG_00060,ITEM_0339,2023-01-03 12:00:00,out,B6,ORD_0060
LOG_00061,ITEM_0305,2023-01-03 13:00:00,out,B12,ORD_0061
LOG_00062,ITEM_0440,2023-01-03 14:00:00,out,B13,ORD_0062
LOG_00063,ITEM_0755,2023-01-03 15:00:00,out,B12,ORD_0063
LOG_00064,ITEM_0472,2023-01-03 16:00:00,in,B11,ORD_0064
LOG_00065,ITEM_0236,2023-01-03 17:00:00,in,B10,ORD_0065
LOG_00066,ITEM_0258,2023-01-03 18:00:00,in,B14,ORD_0066
LOG_00067,ITEM_0347,2023-01-03 19:00:00,in,B4,ORD_0067
LOG_00068,ITEM_0364,2023-01-03 20:00:00,in,B12,ORD_0068
LOG_00069,ITEM_0498,2023-01-03 21:00:00,in,B13,ORD_0069
LOG_00070,ITEM_0843,2023-01-03 22:00:00,out,B15,ORD_0070
LOG_00071,ITEM_0694,2023-01-03 23:00:00,in,B9,ORD_0071
LOG_00072,ITEM_0819,2023-01-04 00:00:00,out,B18,ORD_0072
LOG_00073,ITEM_0540,2023-01-04 01:00:00,in,B4,ORD_0073
LOG_00074,ITEM_0893,2023-01-04 02:00:00,out,B13,ORD_0074
LOG_00075,ITEM_0675,2023-01-04 03:00:00,out,B3,ORD_0075
LOG_00076,ITEM_0599,2023-01-04 04:00:00,out,B16,ORD_0076
LOG_00077,ITEM_0934,2023-01-04 05:00:00,out,B13,ORD_0077
LOG_00078,ITEM_0974,2023-01-04 06:00:00,out,B16,ORD_0078
LOG_00079,ITEM_0503,2023-01-04 07:00:00,in,B1,ORD_0079
LOG_00080,ITEM_0185,2023-01-04 08:00:00,out,B13,ORD_0080
LOG_00081,ITEM_0087,2023-01-04 09:00:00,out,B2,ORD_0081
LOG_00082,ITEM_0881,2023-01-04 10:00:00,out,B4,ORD_0082
LOG_00083,ITEM_0520,2023-01-04 11:00:00,out,B2,ORD_0083
LOG_00084,ITEM_0592,2023-01-04 12:00:00,out,B7,ORD_0084
LOG_00085,ITEM_0633,2023-01-04 13:00:00,in,B6,ORD_0085
LOG_00086,ITEM_0635,2023-01-04 14:00:00,out,B3,ORD_0086
LOG_00087,ITEM_0899,2023-01-04 15:00:00,in,B12,ORD_0087
LOG_00088,ITEM_0861,2023-01-04 16:00:00,in,B11,ORD_0088
LOG_00089,ITEM_0747,2023-01-04 17:00:00,in,B10,ORD_0089
LOG_00090,ITEM_0711,2023-01-04 18:00:00,in,B14,ORD_0090
LOG_00091,ITEM_0099,2023-01-04 19:00:00,in,B9,ORD_0091
LOG_00092,ITEM_0180,2023-01-04 20:00:00,in,B14,ORD_0092
LOG_00093,ITEM_0196,2023-01-04 21:00:00,in,B8,ORD_0093
LOG_00094,ITEM_0442,2023-01-04 22:00:00,out,B6,ORD_0094
LOG_00095,ITEM_0549,2023-01-04 23:00:00,in,B11,ORD_0095
LOG_00096,ITEM_0367,2023-01-05 00:00:00,in,B6,ORD_0096
LOG_00097,ITEM_0739,2023-01-05 01:00:00,in,B13,ORD_0097
LOG_00098,ITEM_0593,2023-01-05 02:00:00,in,B9,ORD_0098
LOG_00099,ITEM_0737,2023-01-05 03:00:00,out,B18,ORD_0099
LOG_00100,ITEM_0281,2023-01-05 04:00:00,in,B12,ORD_0100
LOG_00101,ITEM_0196,2023-01-05 05:00:00,in,B13,ORD_0101
LOG_00102,ITEM_0218,2023-01-05 06:00:00,in,B1,ORD_0102
LOG_00103,ITEM_0095,2023-01-05 07:00:00,out,B15,ORD_0103
LOG_00104,ITEM_0619,2023-01-05 08:00:00,out,B7,ORD_0104
LOG_00105,ITEM_0959,2023-01-05 09:00:00,in,B11,ORD_0105
LOG_00106,ITEM_0304,2023-01-05 10:00:00,out,B11,ORD_0106
LOG_00107,ITEM_0128,2023-01-05 11:00:00,out,B19,ORD_0107
LOG_00108,ITEM_0259,2023-01-05 12:00:00,out,B8,ORD_0108
LOG_00109,ITEM_0434,2023-01-05 13:00:00,out,B5,ORD_0109
LOG_00110,ITEM_0184,2023-01-05 14:00:00,out,B10,ORD_0110
LOG_00111,ITEM_0443,2023-01-05 15:00:00,out,B13,ORD_0111
LOG_00112,ITEM_0957,2023-01-05 16:00:00,in,B14,ORD_0112
LOG_00113,ITEM_0937,2023-01-05 17:00:00,out,B12,ORD_0113
LOG_00114,ITEM_0649,2023-01-05 18:00:00,in,B11,ORD_0114
LOG_00115,ITEM_0874,2023-01-05 19:00:00,out,B1,ORD_0115
LOG_00116,ITEM_0602,2023-01-05 20:00:00,in,B1,ORD_0116
LOG_00117,ITEM_0757,2023-01-05 21:00:00,in,B9,ORD_0117
LOG_00118,ITEM_0284,2023-01-05 22:00:00,in,B4,ORD_0118
LOG_00119,ITEM_0742,2023-01-05 23:00:00,in,B4,ORD_0119
LOG_00120,ITEM_0023,2023-01-06 00:00:00,in,B4,ORD_0120
LOG_00121,ITEM_0631,2023-01-06 01:00:00,out,B20,ORD_0121
LOG_00122,ITEM_0588,2023-01-06 02:00:00,in,B1,ORD_0122
LOG_00123,ITEM_0031,2023-01-06 03:00:00,out,B12,ORD_0123
LOG_00124,ITEM_0725,2023-01-06 04:00:00,in,B10,ORD_0124
LOG_00125,ITEM_0357,2023-01-06 05:00:00,out,B19,ORD_0125
LOG_00126,ITEM_0676,2023-01-06 06:00:00,in,B19,ORD_0126
LOG_00127,ITEM_0787,2023-01-06 07:00:00,out,B15,ORD_0127
LOG_00128,ITEM_0705,2023-01-06 08:00:00,in,B9,ORD_0128
LOG_00129,ITEM_0833,2023-01-06 09:00:00,out,B5,ORD_0129
LOG_00130,ITEM_0259,2023-01-06 10:00:00,out,B12,ORD_0130
LOG_00131,ITEM_0116,2023-01-06 11:00:00,in,B18,ORD_0131
LOG_00132,ITEM_0622,2023-01-06 12:00:00,out,B20,ORD_0132
LOG_00133,ITEM_0952,2023-01-06 13:00:00,in,B4,ORD_0133
LOG_00134,ITEM_0407,2023-01-06 14:00:00,out,B19,ORD_0134
LOG_00135,ITEM_0072,2023-01-06 15:00:00,in,B13,ORD_0135
LOG_00136,ITEM_0166,2023-01-06 16:00:00,out,B9,ORD_0136
LOG_00137,ITEM_0289,2023-01-06 17:00:00,out,B13,ORD_0137
LOG_00138,ITEM_0292,2023-01-06 18:00:00,in,B18,ORD_0138
LOG_00139,ITEM_0479,2023-01-06 19:00:00,in,B3,ORD_0139
LOG_00140,ITEM_0685,2023-01-06 20:00:00,in,B15,ORD_0140
LOG_00141,ITEM_0346,2023-01-06 21:00:00,out,B1,ORD_0141
LOG_00142,ITEM_0915,2023-01-06 22:00:00,in,B11,ORD_0142
LOG_00143,ITEM_0641,2023-01-06 23:00:00,out,B8,ORD_0143
LOG_00144,ITEM_0453,2023-01-07 00:00:00,in,B17,ORD_0144
LOG_00145,ITEM_0857,2023-01-07 01:00:00,in,B12,ORD_0145
LOG_00146,ITEM_0054,2023-01-07 02:00:00,in,B18,ORD_0146
LOG_00147,ITEM_0110,2023-01-07 03:00:00,out,B3,ORD_0147
LOG_00148,ITEM_0208,2023-01-07 04:00:00,out,B9,ORD_0148
LOG_00149,ITEM_0210,2023-01-07 05:00:00,in,B13,ORD_0149
LOG_00150,ITEM_0578,2023-01-07 06:00:00,in,B3,ORD_0150
LOG_00151,ITEM_0737,2023-01-07 07:00:00,in,B7,ORD_0151
LOG_00152,ITEM_0996,2023-01-07 08:00:00,in,B13,ORD_0152
LOG_00153,ITEM_0919,2023-01-07 09:00:00,out,B3,ORD_0153
LOG_00154,ITEM_0290,2023-01-07 10:00:00,out,B17,ORD_0154
LOG_00155,ITEM_0987,2023-01-07 11:00:00,in,B19,ORD_0155
LOG_00156,ITEM_0287,2023-01-07 12:00:00,out,B18,ORD_0156
LOG_00157,ITEM_0363,2023-01-07 13:00:00,out,B8,ORD_0157
LOG_00158,ITEM_0767,2023-01-07 14:00:00,out,B17,ORD_0158
LOG_00159,ITEM_0291,2023-01-07 15:00:00,in,B9,ORD_0159
LOG_00160,ITEM_0331,2023-01-07 16:00:00,out,B13,ORD_0160
LOG_00161,ITEM_0067,2023-01-07 17:00:00,in,B20,ORD_0161
LOG_00162,ITEM_0073,2023-01-07 18:00:00,out,B9,ORD_0162
LOG_00163,ITEM_0756,2023-01-07 19:00:00,in,B1,ORD_0163
LOG_00164,ITEM_0056,2023-01-07 20:00:00,out,B9,ORD_0164
LOG_00165,ITEM_0623,2023-01-07 21:00:00,in,B15,ORD_0165
LOG_00166,ITEM_0166,2023-01-07 22:00:00,in,B20,ORD_0166
LOG_00167,ITEM_0899,2023-01-07 23:00:00,in,B15,ORD_0167
LOG_00168,ITEM_0613,2023-01-08 00:00:00,in,B7,ORD_0168
LOG_00169,ITEM_0909,2023-01-08 01:00:00,out,B12,ORD_0169
LOG_00170,ITEM_0749,2023-01-08 02:00:00,out,B13,ORD_0170
LOG_00171,ITEM_0416,2023-01-08 03:00:00,out,B13,ORD_0171
LOG_00172,ITEM_0328,2023-01-08 04:00:00,in,B2,ORD_0172
LOG_00173,ITEM_0432,2023-01-08 05:00:00,out,B18,ORD_0173
LOG_00174,ITEM_0502,2023-01-08 06:00:00,in,B18,ORD_0174
LOG_00175,ITEM_0979,2023-01-08 07:00:00,out,B16,ORD_0175
LOG_00176,ITEM_0539,2023-01-08 08:00:00,out,B17,ORD_0176
LOG_00177,ITEM_0041,2023-01-08 09:00:00,out,B18,ORD_0177
LOG_00178,ITEM_0582,2023-01-08 10:00:00,out,B19,ORD_0178
LOG_00179,ITEM_0520,2023-01-08 11:00:00,in,B15,ORD_0179
LOG_00180,ITEM_0725,2023-01-08 12:00:00,out,B8,ORD_0180
LOG_00181,ITEM_0082,2023-01-08 13:00:00,out,B12,ORD_0181
LOG_00182,ITEM_0389,2023-01-08 14:00:00,in,B20,ORD_0182
LOG_00183,ITEM_0833,2023-01-08 15:00:00,out,B3,ORD_0183
LOG_00184,ITEM_0886,2023-01-08 16:00:00,out,B12,ORD_0184
LOG_00185,ITEM_0713,2023-01-08 17:00:00,out,B5,ORD_0185
LOG_00186,ITEM_0161,2023-01-08 18:00:00,in,B4,ORD_0186
LOG_00187,ITEM_0234,2023-01-08 19:00:00,out,B12,ORD_0187
LOG_00188,ITEM_0849,2023-01-08 20:00:00,in,B19,ORD_0188
LOG_00189,ITEM_0819,2023-01-08 21:00:00,in,B4,ORD_0189
LOG_00190,ITEM_0834,2023-01-08 22:00:00,out,B6,ORD_0190
LOG_00191,ITEM_0471,2023-01-08 23:00:00,in,B14,ORD_0191
LOG_00192,ITEM_0675,2023-01-09 00:00:00,out,B5,ORD_0192
LOG_00193,ITEM_0845,2023-01-09 01:00:00,in,B12,ORD_0193
LOG_00194,ITEM_0437,2023-01-09 02:00:00,out,B16,ORD_0194
LOG_00195,ITEM_0412,2023-01-09 03:00:00,out,B6,ORD_0195
LOG_00196,ITEM_0736,2023-01-09 04:00:00,in,B17,ORD_0196
LOG_00197,ITEM_0401,2023-01-09 05:00:00,out,B17,ORD_0197
LOG_00198,ITEM_0738,2023-01-09 06:00:00,in,B9,ORD_0198
LOG_00199,ITEM_0789,2023-01-09 07:00:00,out,B17,ORD_0199
LOG_00200,ITEM_0934,2023-01-09 08:00:00,out,B10,ORD_0200
LOG_00201,ITEM_0869,2023-01-09 09:00:00,in,B5,ORD_0201
LOG_00202,ITEM_0201,2023-01-09 10:00:00,out,B6,ORD_0202
LOG_00203,ITEM_0765,2023-01-09 11:00:00,out,B17,ORD_0203
LOG_00204,ITEM_0281,2023-01-09 12:00:00,out,B3,ORD_0204
LOG_00205,ITEM_0709,2023-01-09 13:00:00,out,B14,ORD_0205
LOG_00206,ITEM_0308,2023-01-09 14:00:00,in,B19,ORD_0206
LOG_00207,ITEM_0428,2023-01-09 15:00:00,in,B8,ORD_0207
LOG_00208,ITEM_0434,2023-01-09 16:00:00,in,B9,ORD_0208
LOG_00209,ITEM_0438,2023-01-09 17:00:00,out,B14,ORD_0209
LOG_00210,ITEM_0565,2023-01-09 18:00:00,out,B18,ORD_0210
LOG_00211,ITEM_0585,2023-01-09 19:00:00,in,B20,ORD_0211
LOG_00212,ITEM_0521,2023-01-09 20:00:00,in,B16,ORD_0212
LOG_00213,ITEM_0362,2023-01-09 21:00:00,in,B7,ORD_0213
LOG_00214,ITEM_0613,2023-01-09 22:00:00,in,B2,ORD_0214
LOG_00215,ITEM_0336,2023-01-09 23:00:00,in,B20,ORD_0215
LOG_00216,ITEM_0987,2023-01-10 00:00:00,in,B18,ORD_0216
LOG_00217,ITEM_0580,2023-01-10 01:00:00,in,B3,ORD_0217
LOG_00218,ITEM_0953,2023-01-10 02:00:00,in,B2,ORD_0218
LOG_00219,ITEM_0970,2023-01-10 03:00:00,in,B18,ORD_0219
LOG_00220,ITEM_0273,2023-01-10 04:00:00,out,B7,ORD_0220
LOG_00221,ITEM_0438,2023-01-10 05:00:00,in,B9,ORD_0221
LOG_00222,ITEM_0935,2023-01-10 06:00:00,in,B6,ORD_0222
LOG_00223,ITEM_0127,2023-01-10 07:00:00,out,B14,ORD_0223
LOG_00224,ITEM_0693,2023-01-10 08:00:00,out,B3,ORD_0224
LOG_00225,ITEM_0074,2023-01-10 09:00:00,in,B16,ORD_0225
LOG_00226,ITEM_0585,2023-01-10 10:00:00,in,B9,ORD_0226
LOG_00227,ITEM_0981,2023-01-10 11:00:00,in,B14,ORD_0227
LOG_00228,ITEM_0774,2023-01-10 12:00:00,in,B12,ORD_0228
LOG_00229,ITEM_0555,2023-01-10 13:00:00,out,B12,ORD_0229
LOG_00230,ITEM_0057,2023-01-10 14:00:00,in,B4,ORD_0230
LOG_00231,ITEM_0967,2023-01-10 15:00:00,out,B10,ORD_0231
LOG_00232,ITEM_0691,2023-01-10 16:00:00,in,B3,ORD_0232
LOG_00233,ITEM_0270,2023-01-10 17:00:00,in,B10,ORD_0233
LOG_00234,ITEM_0648,2023-01-10 18:00:00,out,B10,ORD_0234
LOG_00235,ITEM_0550,2023-01-10 19:00:00,in,B13,ORD_0235
LOG_00236,ITEM_0873,2023-01-10 20:00:00,out,B8,ORD_0236
LOG_00237,ITEM_0263,2023-01-10 21:00:00,out,B19,ORD_0237
LOG_00238,ITEM_0145,2023-01-10 22:00:00,out,B3,ORD_0238
LOG_00239,ITEM_0710,2023-01-10 23:00:00,in,B6,ORD_0239
LOG_00240,ITEM_0865,2023-01-11 00:00:00,in,B18,ORD_0240
LOG_00241,ITEM_0256,2023-01-11 01:00:00,out,B15,ORD_0241
LOG_00242,ITEM_0191,2023-01-11 02:00:00,in,B7,ORD_0242
LOG_00243,ITEM_0897,2023-01-11 03:00:00,in,B16,ORD_0243
LOG_00244,ITEM_0766,2023-01-11 04:00:00,out,B20,ORD_0244
LOG_00245,ITEM_0350,2023-01-11 05:00:00,out,B11,ORD_0245
LOG_00246,ITEM_0238,2023-01-11 06:00:00,in,B19,ORD_0246
LOG_00247,ITEM_0009,2023-01-11 07:00:00,in,B6,ORD_0247
LOG_00248,ITEM_0042,2023-01-11 08:00:00,out,B4,ORD_0248
LOG_00249,ITEM_0959,2023-01-11 09:00:00,in,B15,ORD_0249
LOG_00250,ITEM_0232,2023-01-11 10:00:00,out,B5,ORD_0250
LOG_00251,ITEM_0171,2023-01-11 11:00:00,out,B4,ORD_0251
LOG_00252,ITEM_0631,2023-01-11 12:00:00,out,B17,ORD_0252
LOG_00253,ITEM_0720,2023-01-11 13:00:00,in,B10,ORD_0253
LOG_00254,ITEM_0268,2023-01-11 14:00:00,out,B11,ORD_0254
LOG_00255,ITEM_0403,2023-01-11 15:00:00,in,B15,ORD_0255
LOG_00256,ITEM_0255,2023-01-11 16:00:00,out,B9,ORD_0256
LOG_00257,ITEM_0750,2023-01-11 17:00:00,in,B17,ORD_0257
LOG_00258,ITEM_0276,2023-01-11 18:00:00,out,B7,ORD_0258
LOG_00259,ITEM_0965,2023-01-11 19:00:00,in,B7,ORD_0259
LOG_00260,ITEM_0717,2023-01-11 20:00:00,out,B16,ORD_0260
LOG_00261,ITEM_0573,2023-01-11 21:00:00,out,B12,ORD_0261
LOG_00262,ITEM_0772,2023-01-11 22:00:00,out,B19,ORD_0262
LOG_00263,ITEM_0128,2023-01-11 23:00:00,out,B16,ORD_0263
LOG_00264,ITEM_0796,2023-01-12 00:00:00,out,B6,ORD_0264
LOG_00265,ITEM_0818,2023-01-12 01:00:00,in,B16,ORD_0265
LOG_00266,ITEM_0488,2023-01-12 02:00:00,out,B19,ORD_0266
LOG_00267,ITEM_0597,2023-01-12 03:00:00,in,B7,ORD_0267
LOG_00268,ITEM_0458,2023-01-12 04:00:00,in,B15,ORD_0268
LOG_00269,ITEM_0183,2023-01-12 05:00:00,out,B19,ORD_0269
LOG_00270,ITEM_0003,2023-01-12 06:00:00,in,B15,ORD_0270
LOG_00271,ITEM_0662,2023-01-12 07:00:00,in,B5,ORD_0271
LOG_00272,ITEM_0055,2023-01-12 08:00:00,out,B19,ORD_0272
LOG_00273,ITEM_0887,2023-01-12 09:00:00,in,B19,ORD_0273
LOG_00274,ITEM_0855,2023-01-12 10:00:00,out,B3,ORD_0274
LOG_00275,ITEM_0769,2023-01-12 11:00:00,in,B15,ORD_0275
LOG_00276,ITEM_0509,2023-01-12 12:00:00,out,B2,ORD_0276
LOG_00277,ITEM_0769,2023-01-12 13:00:00,in,B20,ORD_0277
LOG_00278,ITEM_0427,2023-01-12 14:00:00,out,B20,ORD_0278
LOG_00279,ITEM_0517,2023-01-12 15:00:00,out,B7,ORD_0279
LOG_00280,ITEM_0812,2023-01-12 16:00:00,in,B3,ORD_0280
LOG_00281,ITEM_0705,2023-01-12 17:00:00,out,B4,ORD_0281
LOG_00282,ITEM_0930,2023-01-12 18:00:00,out,B8,ORD_0282
LOG_00283,ITEM_0688,2023-01-12 19:00:00,in,B20,ORD_0283
LOG_00284,ITEM_0825,2023-01-12 20:00:00,out,B8,ORD_0284
LOG_00285,ITEM_0847,2023-01-12 21:00:00,in,B2,ORD_0285
LOG_00286,ITEM_0645,2023-01-12 22:00:00,out,B12,ORD_0286
LOG_00287,ITEM_0797,2023-01-12 23:00:00,in,B3,ORD_0287
LOG_00288,ITEM_0849,2023-01-13 00:00:00,out,B19,ORD_0288
LOG_00289,ITEM_0086,2023-01-13 01:00:00,in,B12,ORD_0289
LOG_00290,ITEM_0289,2023-01-13 02:00:00,in,B20,ORD_0290
LOG_00291,ITEM_0742,2023-01-13 03:00:00,out,B14,ORD_0291
LOG_00292,ITEM_0398,2023-01-13 04:00:00,out,B20,ORD_0292
LOG_00293,ITEM_0239,2023-01-13 05:00:00,in,B1,ORD_0293
LOG_00294,ITEM_0361,2023-01-13 06:00:00,in,B8,ORD_0294
LOG_00295,ITEM_0384,2023-01-13 07:00:00,out,B13,ORD_0295
LOG_00296,ITEM_0184,2023-01-13 08:00:00,out,B14,ORD_0296
LOG_00297,ITEM_0806,2023-01-13 09:00:00,out,B4,ORD_0297
LOG_00298,ITEM_0823,2023-01-13 10:00:00,out,B15,ORD_0298
LOG_00299,ITEM_0280,2023-01-13 11:00:00,in,B6,ORD_0299
LOG_00300,ITEM_0651,2023-01-13 12:00:00,in,B14,ORD_0300
LOG_00301,ITEM_0284,2023-01-13 13:00:00,in,B10,ORD_0301
LOG_00302,ITEM_0195,2023-01-13 14:00:00,out,B15,ORD_0302
LOG_00303,ITEM_0463,2023-01-13 15:00:00,in,B4,ORD_0303
LOG_00304,ITEM_0796,2023-01-13 16:00:00,out,B10,ORD_0304
LOG_00305,ITEM_0785,2023-01-13 17:00:00,in,B8,ORD_0305
LOG_00306,ITEM_0305,2023-01-13 18:00:00,out,B10,ORD_0306
LOG_00307,ITEM_0087,2023-01-13 19:00:00,out,B20,ORD_0307
LOG_00308,ITEM_0719,2023-01-13 20:00:00,in,B18,ORD_0308
LOG_00309,ITEM_0652,2023-01-13 21:00:00,out,B1,ORD_0309
LOG_00310,ITEM_0690,2023-01-13 22:00:00,in,B15,ORD_0310
LOG_00311,ITEM_0578,2023-01-13 23:00:00,in,B12,ORD_0311
LOG_00312,ITEM_0494,2023-01-14 00:00:00,out,B7,ORD_0312
LOG_00313,ITEM_0523,2023-01-14 01:00:00,in,B9,ORD_0313
LOG_00314,ITEM_0013,2023-01-14 02:00:00,in,B8,ORD_0314
LOG_00315,ITEM_0323,2023-01-14 03:00:00,out,B15,ORD_0315
LOG_00316,ITEM_0137,2023-01-14 04:00:00,in,B12,ORD_0316
LOG_00317,ITEM_0471,2023-01-14 05:00:00,in,B6,ORD_0317
LOG_00318,ITEM_0291,2023-01-14 06:00:00,out,B15,ORD_0318
LOG_00319,ITEM_0742,2023-01-14 07:00:00,in,B13,ORD_0319
LOG_00320,ITEM_0753,2023-01-14 08:00:00,out,B7,ORD_0320
LOG_00321,ITEM_0124,2023-01-14 09:00:00,out,B7,ORD_0321
LOG_00322,ITEM_0344,2023-01-14 10:00:00,out,B4,ORD_0322
LOG_00323,ITEM_0288,2023-01-14 11:00:00,in,B10,ORD_0323
LOG_00324,ITEM_0631,2023-01-14 12:00:00,in,B6,ORD_0324
LOG_00325,ITEM_0543,2023-01-14 13:00:00,in,B3,ORD_0325
LOG_00326,ITEM_0398,2023-01-14 14:00:00,in,B7,ORD_0326
LOG_00327,ITEM_0060,2023-01-14 15:00:00,out,B15,ORD_0327
LOG_00328,ITEM_0536,2023-01-14 16:00:00,in,B19,ORD_0328
LOG_00329,ITEM_0508,2023-01-14 17:00:00,out,B19,ORD_0329
LOG_00330,ITEM_0309,2023-01-14 18:00:00,out,B8,ORD_0330
LOG_00331,ITEM_0521,2023-01-14 19:00:00,out,B8,ORD_0331
LOG_00332,ITEM_0388,2023-01-14 20:00:00,in,B20,ORD_0332
LOG_00333,ITEM_0930,2023-01-14 21:00:00,in,B1,ORD_0333
LOG_00334,ITEM_0208,2023-01-14 22:00:00,out,B18,ORD_0334
LOG_00335,ITEM_0484,2023-01-14 23:00:00,in,B20,ORD_0335
LOG_00336,ITEM_0130,2023-01-15 00:00:00,out,B17,ORD_0336
LOG_00337,ITEM_0258,2023-01-15 01:00:00,out,B5,ORD_0337
LOG_00338,ITEM_0860,2023-01-15 02:00:00,out,B15,ORD_0338
LOG_00339,ITEM_0278,2023-01-15 03:00:00,out,B15,ORD_0339
LOG_00340,ITEM_0224,2023-01-15 04:00:00,in,B12,ORD_0340
LOG_00341,ITEM_0637,2023-01-15 05:00:00,out,B9,ORD_0341
LOG_00342,ITEM_0325,2023-01-15 06:00:00,out,B9,ORD_0342
LOG_00343,ITEM_0974,2023-01-15 07:00:00,out,B3,ORD_0343
LOG_00344,ITEM_0524,2023-01-15 08:00:00,out,B19,ORD_0344
LOG_00345,ITEM_0161,2023-01-15 09:00:00,in,B5,ORD_0345
LOG_00346,ITEM_0864,2023-01-15 10:00:00,in,B18,ORD_0346
LOG_00347,ITEM_0450,2023-01-15 11:00:00,out,B17,ORD_0347
